cycle_id,pond_id,species_id,total_seed,area,initial_age,limit_weight_per_area,target_cultivation_day,target_size,pond_size,padat_tebar,total_feed,avg_feed_per_day,avg_growth_feed,size_harvest,weight_harvest,total_harvested,selling_price,cycle_lead_time,harvest_time,total_seed_type_actual,total_seed_type_gross,total_seed_type_net,pond_name_A,pond_name_A1,pond_name_A2,pond_name_A3,pond_name_A4,pond_name_Other,survival_rate,survival_rate_pred,avg_body_weight,avg_body_weight_pred
10258,24120,1,40000,972.0,0,1.25,120,45.0,972.0,38880000.0,239.4,4.79,0.02,370.0,106.92,19780,3232900,52,52,0,0,1,0,0,0,0,0,1,49.45,47.72,3.62,3.8956945546555835
10358,12221,1,150000,650.0,0,1.2,120,45.0,1499.91,224986320.0,690.5,13.81,0.01,1190.0,464.0,183480,13880000,48,48,0,0,1,0,0,0,0,0,1,100.0,98.81,2.08,3.7353836959856768
10366,24265,1,80000,600.0,0,1.25,120,45.0,599.82,47985504.0,1714.5,21.43,0.11,289.0,1404.0,113918,89902000,81,81,0,0,1,0,0,0,0,0,1,100.0,99.92,11.16,11.49291383731822
10367,24266,1,120000,1200.0,0,1.25,120,45.0,1200.0,144000000.0,1575.5,22.19,0.26,305.0,1381.0,135650,75712000,74,76,0,1,0,0,0,0,0,0,1,100.0,98.91,8.7,8.883185800174015
10371,24272,1,67000,800.0,0,1.25,120,45.0,800.0,53600000.0,1081.0,24.57,0.19,237.0,1080.0,255960,35640000,48,48,0,0,1,0,0,0,0,0,1,100.0,99.69,2.5,4.933703945031574
10400,24332,1,275000,1000.0,0,1.25,120,45.0,2999.95,824985562.5,6094.5,12.88,0.04,239.0,4532.0,224484,342444000,110,109,0,1,0,1,0,0,0,0,0,81.63,80.65,12.71,12.301224918782065
10408,12222,1,100000,644.0,0,1.25,120,45.0,644.01,64401400.0,649.8,12.03,0.02,220.0,525.0,115500,18375000,56,56,0,0,1,0,0,0,0,0,1,100.0,99.79,3.73,4.485969976887865
10414,23718,1,100000,1000.0,0,1.25,120,45.0,1000.01,100000890.0,1551.3,15.83,0.06,43.0,750.0,32250,63900000,100,100,0,1,0,0,0,0,0,0,1,32.25,33.05,9.47,12.968687022252771
10703,12521,1,260000,2600.0,0,1.25,120,45.0,2400.27,624068926.0,5618.0,63.12,1.06,116.22,1895.78,106045,0,85,85,0,1,0,0,1,0,0,0,0,40.79,42.23,10.86,10.772425552992766
10704,12522,1,300000,2600.0,0,1.2,120,45.0,2999.95,899984250.0,6546.0,74.39,1.18,122.18,2322.84,136630,0,85,85,0,1,0,0,0,1,0,0,0,45.54,45.47,11.45,10.907045071625003
