cycle_id,size,weight,total_harvested,selling_price,harvested_at
11773,77.0,165.0,12705.0,11236500.0,2021-11-12
11774,361.0,1174.5,117047.0,70571000.0,2021-11-27
11775,377.0,224.48,18324.54,14432670.0,2021-11-27
11777,190.0,220.0,41800.0,7480000.0,2021-11-05
11789,112.0,1350.0,65700.0,107600000.0,2021-11-27
11797,288.0,430.0,54100.0,21390000.0,2021-11-09
11808,312.0,2334.0,163034.0,153331000.0,2021-11-12
11847,250.0,60.0,15000.0,2160000.0,2021-10-31
11848,600.0,56.0,16800.0,1960000.0,2021-10-22
11851,289.0,57.0,16473.0,57.0,2021-10-22
11852,300.0,350.0,45000.0,350.0,2021-11-15
11853,400.0,89.0,17800.0,89.0,2021-11-24
11854,558.0,180.0,50440.0,100.0,2021-11-04
11889,505.0,290.0,47800.0,290.0,2021-11-21
11922,162.18,3207.96,152493.63,0.0,2021-11-16
11923,191.52,8418.09,355365.61,0.0,2021-12-01
11926,175.79,5029.37,268377.45,0.0,2021-11-16
11927,208.97,8305.53,368881.68,0.0,2021-12-01
11928,186.27,5078.7,280973.95,0.0,2021-11-16
11929,187.61,19044.26,787220.22,0.0,2021-11-30
11930,175.01,10541.13,404632.47,0.0,2021-11-30
11931,169.68,2834.05,146622.39,0.0,2021-11-16
12021,261.0,1070.0,71470.0,80560000.0,2021-11-27
12025,240.0,1583.0,119110.0,117652000.0,2021-12-07
12046,160.0,259.0,41440.0,10878000.0,2021-11-13
12065,747.43,9519.16,429692.51,1540.0,2022-01-30
12067,614.8,9617.4,418441.0,1628.65,2022-01-30
12072,579.29,6392.15,263109.11,1164.9,2022-01-30
12163,240.0,520.0,34651.0,36201100.0,2021-12-14
12323,170.0,110.4,18768.0,4305600.0,2021-11-25
12324,285.0,156.9,44716.5,4471650.0,2021-11-25
12325,205.0,276.36,56653.8,10087140.0,2021-11-24
12332,210.0,563.94,118427.4,20301840.0,2021-11-25
12336,766.0,495.0,91270.0,22055000.0,2021-11-18
12341,669.0,609.7,89148.55,23277290.0,2022-01-17
12343,550.0,374.0,54150.0,301.5,2021-12-16
12347,60.0,850.86,51051.6,,2021-11-09
12348,80.0,406.73,32538.4,,2021-11-09
12349,105.0,377.3,39616.5,19468680.0,2021-10-23
12350,106.0,431.37,45725.22,,2021-11-08
12351,107.0,1757.85,188089.95,90705060.0,2021-10-23
12354,235.0,414.55,32181.02,25650960.0,2021-12-20
12357,256.0,379.58,32625.64,22380546.0,2021-12-20
12359,243.0,367.7,29010.2,19251424.0,2021-12-20
12361,273.0,390.09,35975.17,22661587.0,2021-12-20
12362,312.0,760.28,56176.44,25276900.0,2022-01-08
12436,250.0,225.0,56250.0,10462.5,2021-11-14
12439,232.0,122.0,28304.0,4880.0,2021-11-13
12453,132.0,968.81,60373.36,306.0,2021-12-27
12481,148.0,480.0,71040.0,480.0,2021-12-10
12482,148.0,540.0,79920.0,,2021-12-11
12484,596.0,272.46,54788.98,,2022-01-05
12491,506.0,479.23,61828.01,,2022-01-05
12504,368.0,467.37,45160.47,,2022-01-05
12505,390.0,563.51,54576.81,,2022-01-05
12506,380.0,519.52,49308.24,,2022-01-05
12558,166.0,680.0,112880.0,680.0,2021-11-03
12572,190.0,1179.0,107515.0,20889.0,2021-11-24
12576,400.0,190.0,76000.0,5890.0,2021-11-15
12592,400.0,62.0,24800.0,2108.0,2021-11-18
12595,400.0,527.0,210800.0,17391.0,2021-11-19
12596,100.0,160.0,16000.0,160.0,2021-11-06
12597,260.0,117.0,30420.0,5265.0,2021-11-16
12639,82.0,300.0,24600.0,18600000.0,2021-12-18
12705,354.0,1502.0,103023.0,100604800.1,2022-02-15
12717,530.0,102.25,26500.0,4267900.0,2021-11-02
12724,250.0,75.0,18750.0,75.0,2021-11-26
12725,380.0,213.0,41340.0,150.0,2021-12-14
12850,57.34,5623.28,322438.88,0.0,2022-01-11
12851,61.57,7579.97,466698.75,0.0,2022-01-09
12852,74.19,4545.71,337246.22,0.0,2022-01-01
12853,53.01,1234.0,65414.34,0.0,2022-01-10
12854,69.95,5272.48,368809.98,0.0,2022-01-05
12855,78.0,4641.39,362028.42,0.0,2022-01-01
12856,334.12,4135.76,427862.5,93913283.36,2021-12-22
12857,69.63,482.98,33629.9,0.0,2022-01-01
12858,64.42,11521.86,742238.22,0.0,2022-01-10
12859,73.14,9161.29,670056.75,0.0,2022-01-07
12860,69.59,9041.36,629188.24,0.0,2022-01-08
12861,73.1,10063.0,735605.3,0.0,2022-01-09
12862,69.95,3287.01,229926.35,0.0,2022-01-05
12863,72.35,10356.59,749299.29,0.0,2022-01-08
12864,68.17,7059.74,481262.48,0.0,2022-01-05
12865,69.87,5875.57,410526.08,0.0,2022-01-01
12866,73.69,2690.79,198284.32,0.0,2022-01-05
12867,68.94,4505.16,310585.73,0.0,2022-01-05
12868,82.09,117.11,9613.56,0.0,2022-01-09
12869,76.9,805.81,61966.79,0.0,2022-01-06
12937,160.0,85.0,13600.0,3995000.0,2021-11-24
12978,209.0,250.0,25920.0,13300000.0,2022-01-20
13024,407.0,939.0,56060.0,65073800.0,2022-02-19
13112,92.0,991.03,91174.76,52921002.0,2022-02-03
13114,415.1,3763.65,227424.95,,2022-02-14
13117,253.0,390.0,49570.0,19670000.0,2022-02-01
13166,107.6,886.3,95365.88,41977148.0,2022-01-16
13198,47.94,1134.0,54363.96,,2022-02-19
13308,264.31,4738.47,320489.4,305555293.8,2022-02-04
13414,249.6,1361.22,57539.42,110703905.0,2021-08-05
13419,348.9,1786.95,98574.18,137583618.0,2021-06-30
13420,343.4,1640.08,90511.46,386028605.0,2021-06-30
13432,318.0,1666.0,91499.0,120910690.0,2021-04-02
13451,440.5,843.64,49477.97,60850790.0,2022-02-17
13452,419.5,1047.24,57257.35,78469216.0,2022-02-17
13667,105.0,590.0,61950.0,,2022-03-06
13710,394.0,687.26,48086.26,25280079.78,2022-03-18
13774,259.4,3356.0,202416.2,,2022-03-03
13777,43.0,5513.43,237077.49,,2022-04-18
13791,854.0,2019.33,147689.42,77397069.0,2022-02-17
13888,128.0,1216.8,72902.4,84194880.0,2021-11-02
13892,292.1,4152.0,295597.7,,2022-03-03
13913,117.0,1107.48,60578.96,78939552.0,2021-10-16
14045,521.4,3312.1,202449.29,195403013.0,2022-04-27
14046,673.82,3455.51,216410.56,215600088.0,2022-05-06
14047,349.28,2253.8,147707.64,148293633.0,2022-04-15
14094,289.0,811.45,39723.3,65807230.0,2022-04-13
14095,569.0,3060.4,213146.4,153711980.0,2022-04-04
14096,380.0,3271.01,122617.22,296107788.55,2022-05-09
14097,470.0,1942.03,114454.43,143548620.0,2022-04-14
14114,326.0,675.0,103095.0,,2022-03-12
14154,397.87,7169.5,500242.59,487447432.25,2022-04-21
14155,245.97,5151.1,320970.46,328933742.69,2022-04-20
14220,296.1,5909.1,396123.71,,2022-05-30
14223,303.1,5810.1,395157.97,,2022-06-02
14289,342.49,5656.45,336706.92,414477583.7,2022-04-21
14324,87.5,3560.2,118698.2,268225360.0,2022-06-26
14325,89.98,3561.9,121495.56,263222500.0,2022-06-26
14326,90.65,3661.56,126621.6,269779002.6,2022-06-23
14327,93.4,3611.7,131201.82,260480340.0,2022-06-23
14328,100.3,3620.7,139840.3,257662420.0,2022-06-21
14329,165.0,3964.8,166148.4,245591920.0,2022-06-19
14344,880.0,18.0,1940.0,780000.0,2022-04-23
14345,700.0,16.5,1935.0,540000.0,2022-04-24
14346,1670.0,39.0,5940.0,2220000.0,2022-04-26
14368,171.0,3953.0,182775.0,54562000.0,2022-04-19
14437,765.0,1378.55,71300.85,105261595.0,2022-05-23
14438,401.0,195.35,15728.35,12527780.0,2022-04-20
14439,305.0,361.85,24858.75,24535650.0,2022-04-20
14440,472.0,308.5,32765.6,16828720.0,2022-04-16
14506,608.0,471.0,28037.0,33419000.0,2022-06-04
14522,315.0,532.0,167580.0,,2022-04-24
14576,578.0,2242.79,199050.09,130363628.0,2022-05-14
14577,341.0,1352.95,229176.75,54338720.0,2022-05-11
14578,316.0,961.0,151121.0,41201000.0,2022-05-11
14579,266.0,1574.8,209448.4,63674120.0,2022-04-24
14580,244.0,372.4,30620.0,21579600.0,2022-05-14
14604,398.03,4887.42,264206.63,,2022-06-10
14614,231.0,1202.35,74542.5,81020750.0,2022-05-21
14630,279.0,755.7,41841.6,41358900.0,2022-05-22
14691,88.0,3600.0,316800.0,184050000.0,2022-05-05
14692,271.0,1931.0,260710.0,94693600.0,2022-04-22
14693,246.0,39.89,9812.94,,2022-04-19
14824,313.4,5723.39,268204.44,438920164.1,2022-06-24
14875,82.0,30330.0,2487060.0,1771272.0,2022-05-07
14877,355.0,1313.7,93477.1,,2022-05-22
14878,201.0,561.31,53493.52,,2022-05-23
14972,258.0,654.0,84452.0,,2022-04-18
15005,228.0,1836.0,104652.0,111261600.0,2022-06-17
15006,116.0,1285.0,74530.0,77614000.0,2022-06-18
15006,116.0,1285.0,74530.0,77614000.0,2022-06-17
15015,427.0,2250.35,191973.8,124991665.0,2022-06-09
15015,427.0,2250.35,191973.8,124991665.0,2022-06-10
